CALIDAD DEL AGUA PARA COLIFORMES FECALES_subterraneas,CRITERIO,DESCRIPCION
Excelente,COLI_FEC menor a 1.1,Agua potable. Agua no contaminada o condicion normal. No hay evidencia de alteracion en los valores de la calidad bacteriologica para el cuerpo de agua subterraneo
Buena calidad,COLI_FEC mayor o igual de 1.1 y menor o igual a 200,"Aguas para uso recreativo con contacto primario, as¡ como para otros usos. Indicios de alteracion de la calidad bacteriologica"
Aceptable,COLI_FEC mayor de 200 y menor o igual a 1000,Aguas con calidad admisible como fuente de abastecimiento de agua potable y para riego agricola. Muestra bajos niveles de alteracion como resultado de la actividad humana
Contaminada,COLI_FEC mayor de 1000 y menor o igual a 10000,Aguas  con contaminacion bacteriologica. Indica alteracion substancial con respecto a la condicion normal
Fuertemente contaminada,COLI_FEC mayor de 10000,Aguas con fuerte contaminacion bacteriologica. Alteracion severa
CALIDAD DEL AGUA PARA SOLIDOS DISUELTOS TOTALES-SALINIZACION,CRITERIO,DESCRIPCION
Potable - Dulce,SDT menor o igual a 1000,Agua Potable. Agua Dulce
Ligeramente salobres,SDT mayor de 1000 y menor o igual a 2000,Aguas subterranea con bajo contenido de sales
Salobres,SDT mayor de 2000 y menor o igual a 10000,Aguas subterranea con alto contenido de sales
Salinas,SDT mayor de 10000,Aguas subterranea con muy alto contenido de sales
CALIDAD DEL AGUA PARA SOLIDOS DISUELTOS TOTALES-RIEGO AGRICOLA,CRITERIO,DESCRIPCION
Excelente para riego,SDT menor o igual a 500,Excelente para riego de todo tipo de cultivos
Cultivos sensibles,SDT mayor de 500 y menor o igual a 1000,Apta para riego de cultivos sensibles
Cultivos con manejo especial,SDT mayor de 1000 y menor o igual a 2000,Apta para riego de cultivos con manejo especial
Cultivos tolerantes,SDT mayor de 2000 y menor o igual a 5000,Apta para riego de cultivos tolerantes
Indeseable para riego,SDT mayor de 5000,Indeseable para riego
CALIDAD DEL AGUA PARA CROMO,CRITERIO,DESCRIPCION
Potable - Excelente,CR menor o igual a 0.05,Agua potable. Agua no contaminada o condicion normal
No apta como FAAP,CR mayor de 0.05,Agua no apta como fuente de abastecimiento de agua potable
CALIDAD DEL AGUA PARA CONDUCTIVIDAD,CRITERIO,DESCRIPCION
Excelente para riego,CONDUC menor o igual a 250,Excelente para riego de todo tipo de cultivos
Buena para riego,CONDUC mayor de 250 y menor o igual a 750,Apta para riego de cultivos sensibles
Permisible para riego,CONDUC mayor de 750 y menor o igual a 2000,Apta para riego de cultivos con manejo especial
Dudosa para riego,CONDUC mayor de 2000 y menor o igual a 3000,Apta para riego de cultivos tolerantes
Indeseable para riego,CONDUC mayor de 3000,Indeseable para riego
CALIDAD DEL AGUA PARA CADMIO,CRITERIO,DESCRIPCION
Potable - Excelente,CD menor o igual a 0.003,Agua potable. Agua no contaminada o condicion normal
Apta como FAAP,CD mayor de 0.003 y menor o igual a 0.005,Agua apta como fuente de abastecimiento de agua potable
No apta como FAAP,CD mayor de 0.005,Agua no apta como fuente de abastecimiento de agua potable
CALIDAD DEL AGUA PARA ARSENICO,CRITERIO,DESCRIPCION
Potable - Excelente,AS menor o igual a 0.01,Agua potable. Agua no contaminada o condicion normal
Apta como FAAP,AS mayor de 0.01 y menor o igual a 0.025,Agua apta como fuente de abastecimiento de agua potable
No apta como FAAP,AS mayor de 0.025,Agua no apta como fuente de abastecimiento de agua potable o requiere de tratamiento para su remoci¢n.
CALIDAD DEL AGUA PARA ALCALINIDAD,CRITERIO,DESCRIPCION
Baja,ALC mayor o igual a 20 y menor de 75,Agua apta como fuente de abastecimiento de agua potable
Media,ALC mayor o igual a 75 y menor o igual a 150,Agua potable. Agua no contaminada o condicion normal
Alta,ALC mayor de 150 y menor o igual a 400,Agua apta como fuente de abastecimiento de agua potable
